entry_test_price;prediction;test_price
3832.6;3868.1201171875;3830.5
3830.5;3948.2900390625;3844.8
3844.8;3869.169921875;3831.6
3831.6;3854.489990234375;3824.1
3824.1;3868.75;3831.6
3831.6;3878.800048828125;3841.6
3841.6;3819.89990234375;3825.0
3825.0;3836.659912109375;3833.25
3833.25;3846.75;3827.9
3827.9;3834.110107421875;3846.8
3846.8;3825.39990234375;3859.9
3859.9;3882.909912109375;3857.7
3857.7;3869.320068359375;3844.0
3844.0;3838.330078125;3854.0
3854.0;3846.699951171875;3862.3
3862.3;3871.25;3856.3
3856.3;3849.719970703125;3855.27
3855.27;3882.52001953125;3859.0
3859.0;3892.969970703125;3839.3
3839.3;3830.31005859375;3830.0
3830.0;3799.340087890625;3836.3
3836.3;3820.669921875;3834.7
3834.7;3835.639892578125;3820.02
3820.02;3825.080078125;3809.94
3809.94;3779.9599609375;3844.4
3844.4;3855.070068359375;3883.9
3883.9;3913.239990234375;3879.3
3879.3;3895.489990234375;3862.2
3862.2;3843.3798828125;3950.0
3950.0;3891.320068359375;3974.8
3974.8;4035.75;3948.9
3948.9;3981.39990234375;3953.0
3953.0;3947.719970703125;3951.3
3951.3;3950.300048828125;3959.8
3959.8;3969.43994140625;3938.8
3938.8;3932.2900390625;3941.2
3941.2;3948.1201171875;3940.7
3940.7;3945.89990234375;3926.0
3926.0;3931.4599609375;3933.1
3933.1;3926.760009765625;3942.4
3942.4;3926.659912109375;3935.3
3935.3;3940.780029296875;3937.0
3937.0;3943.669921875;3956.9
3956.9;3939.81005859375;3949.09
3949.09;3955.989990234375;3953.1
3953.1;3951.5400390625;3975.3
3975.3;3984.669921875;3979.1
3979.1;4001.820068359375;3985.0
3985.0;3987.64990234375;3975.1
3975.1;3980.81005859375;4015.2
4015.2;3988.639892578125;4016.0
4016.0;4022.159912109375;3992.4
3992.4;3995.949951171875;3979.8
3979.8;3989.25;3995.24
3995.24;3992.260009765625;4040.06
4040.06;4020.219970703125;4046.25
4046.25;4041.81005859375;4027.36
4027.36;4034.3798828125;4069.3
4069.3;4069.090087890625;4048.8
4048.8;4066.3701171875;4022.0
4022.0;4018.510009765625;4023.9
4023.9;4013.179931640625;4017.3
4017.3;4021.3701171875;4024.9
4024.9;4020.929931640625;4027.6
4027.6;4025.800048828125;4009.73
4009.73;4018.1298828125;3999.02
3999.02;3989.56005859375;3996.0
3996.0;3986.760009765625;4007.8
4007.8;4003.280029296875;3996.1
3996.1;3996.179931640625;3978.76
3978.76;3974.699951171875;3987.0
3987.0;3981.510009765625;3979.2
3979.2;3985.449951171875;3977.6
3977.6;3976.199951171875;3985.4
3985.4;3980.81005859375;3986.5
3986.5;3993.1298828125;3983.7
3983.7;3985.0400390625;3986.2
3986.2;3978.300048828125;3970.0
3970.0;3974.800048828125;3913.9
3913.9;3916.18994140625;3924.73
3924.73;3910.8798828125;3920.0
3920.0;3913.340087890625;3913.8
3913.8;3924.10009765625;3932.4
3932.4;3920.739990234375;3935.8
3935.8;3939.179931640625;3932.4
3932.4;3934.9599609375;3928.7
3928.7;3926.10009765625;3915.7
3915.7;3924.27001953125;3909.1
3909.1;3905.610107421875;3919.7
3919.7;3909.679931640625;3919.34
3919.34;3925.68994140625;3918.92
3918.92;3917.6201171875;3926.1
3926.1;3921.780029296875;3930.0
3930.0;3936.340087890625;3928.1
3928.1;3931.080078125;3938.8
3938.8;3938.860107421875;3946.9
3946.9;3951.090087890625;3947.4
3947.4;3957.6201171875;3951.3
3951.3;3951.719970703125;3927.92
3927.92;3928.340087890625;3925.99
3925.99;3921.639892578125;3937.6
3937.6;3933.409912109375;3924.9
3924.9;3924.389892578125;3916.11
3916.11;3910.7099609375;3907.0
3907.0;3911.0400390625;3893.1
3893.1;3902.489990234375;3872.8
3872.8;3866.550048828125;3885.81
3885.81;3879.080078125;3895.0
3895.0;3894.800048828125;3896.1
3896.1;3894.75;3888.2
3888.2;3888.760009765625;3886.7
3886.7;3884.6201171875;3881.9
3881.9;3881.429931640625;3925.9
3925.9;3915.179931640625;3958.2
3958.2;3974.659912109375;3960.64
3960.64;3960.739990234375;3959.8
3959.8;3962.679931640625;3995.6
3995.6;3982.0400390625;3981.2
3981.2;3985.280029296875;3985.6
3985.6;3984.679931640625;3982.0
3982.0;3988.31005859375;3997.5
3997.5;3990.4599609375;3997.3
3997.3;3996.43994140625;4005.0
4005.0;4000.659912109375;3985.8
3985.8;4000.93994140625;3979.3
3979.3;3974.909912109375;3965.2
3965.2;3963.8798828125;3965.3
3965.3;3964.669921875;3963.9
3963.9;3962.6298828125;3959.2
3959.2;3957.1201171875;3964.42
3964.42;3963.800048828125;3970.9
3970.9;3974.570068359375;3958.91
3958.91;3970.7099609375;3960.1
3960.1;3957.719970703125;3953.2
3953.2;3956.469970703125;3978.5
3978.5;3969.699951171875;3974.0
3974.0;3961.340087890625;3969.6
3969.6;3963.840087890625;3963.9
3963.9;3962.64990234375;3971.0
3971.0;3969.1298828125;3966.9
3966.9;3971.60009765625;3960.8
3960.8;3962.39990234375;3961.2
3961.2;3960.14990234375;3904.6
3904.6;3943.909912109375;3921.9
3921.9;3918.110107421875;3911.3
3911.3;3915.2900390625;3931.2
3931.2;3921.97998046875;3930.1
3930.1;3931.719970703125;3914.6
3914.6;3915.5400390625;3913.4
3913.4;3912.070068359375;3915.4
3915.4;3917.050048828125;3917.0
3917.0;3914.320068359375;3916.8
3916.8;3918.659912109375;3915.9
3915.9;3915.800048828125;3890.2
3890.2;3904.31005859375;3897.5
3897.5;3895.43994140625;3912.3
3912.3;3902.02001953125;3901.7
3901.7;3906.10009765625;3935.8
3935.8;3915.8701171875;3937.0
3937.0;3938.659912109375;3939.8
3939.8;3945.199951171875;3927.2
3927.2;3925.719970703125;3928.3
3928.3;3933.419921875;3934.8
3934.8;3927.7099609375;3951.9
3951.9;3956.239990234375;3949.8
3949.8;3949.22998046875;4183.3
4183.3;4037.2099609375;4180.0
4180.0;4181.52001953125;4170.0
4170.0;4176.52978515625;4178.7
4178.7;4175.8798828125;4170.0
4170.0;4180.7900390625;4153.5
4153.5;4158.14013671875;4161.0
4161.0;4159.64013671875;4187.9
4187.9;4166.14990234375;4193.0
4193.0;4177.58984375;4179.7
4179.7;4184.830078125;4154.9
4154.9;4157.9501953125;4145.4
4145.4;4150.22021484375;4154.7
4154.7;4149.14013671875;4151.7
4151.7;4151.77978515625;4136.0
4136.0;4144.83984375;4153.9
4153.9;4147.669921875;4150.4
4150.4;4151.52001953125;4153.4
4153.4;4150.89990234375;4152.2
4152.2;4155.18994140625;4120.2
4120.2;4157.22021484375;4106.7
4106.7;4114.18994140625;4106.7
4106.7;4107.18017578125;4106.7
4106.7;4106.81982421875;4106.7
4106.7;4106.72998046875;4107.7
4107.7;4107.10009765625;4107.7
4107.7;4107.39013671875;4111.0
4111.0;4109.81005859375;4106.7
4106.7;4108.31982421875;4106.7
4106.7;4106.7099609375;4111.6
4111.6;4108.18017578125;4145.8
4145.8;4132.08984375;4142.3
4142.3;4141.9599609375;4135.8
4135.8;4136.41015625;4109.9
4109.9;4119.75;4121.8
4121.8;4119.509765625;4105.9
4105.9;4111.669921875;4114.4
4114.4;4110.490234375;4119.4
4119.4;4115.10986328125;4114.6
4114.6;4124.8798828125;4111.0
4111.0;4113.9599609375;4081.9
4081.9;4089.530029296875;4090.0
4090.0;4090.719970703125;4090.0
4090.0;4088.02001953125;4095.5
4095.5;4091.2099609375;4088.9
4088.9;4094.409912109375;4099.9
4099.9;4096.2099609375;4104.9
4104.9;4104.47021484375;4107.4
4107.4;4098.43017578125;4109.0
4109.0;4103.5498046875;4098.7
4098.7;4100.72021484375;4099.9
4099.9;4107.6201171875;4143.4
4143.4;4123.47021484375;4130.9
4130.9;4134.68994140625;4160.18
4160.18;4143.1201171875;4161.71
4161.71;4165.39013671875;4170.3
4170.3;4164.08984375;4146.5
4146.5;4177.490234375;4131.5
4131.5;4136.43994140625;4136.0
4136.0;4137.77001953125;4133.0
4133.0;4127.27001953125;4133.3
4133.3;4131.39990234375;4121.2
4121.2;4132.02978515625;4110.6
4110.6;4119.97021484375;4104.97
4104.97;4116.97021484375;4116.6
4116.6;4107.06005859375;4099.3
4099.3;4112.60986328125;4109.6
4109.6;4103.31005859375;4111.3
4111.3;4104.39013671875;4153.3
4153.3;4130.52001953125;4135.5
4135.5;4139.7900390625;4140.0
4140.0;4140.8798828125;4146.9
4146.9;4142.97998046875;4136.87
4136.87;4147.4501953125;4132.5
4132.5;4137.9501953125;4146.45
4146.45;4139.9501953125;4135.42
4135.42;4143.0400390625;4147.8
4147.8;4139.669921875;4148.1
4148.1;4143.740234375;4139.5
4139.5;4140.990234375;4146.5
4146.5;4142.080078125;4134.2
4134.2;4149.25;4117.6
4117.6;4119.990234375;4107.0
4107.0;4100.740234375;4083.6
4083.6;4092.5400390625;4076.3
4076.3;4070.56005859375;4084.0
4084.0;4078.610107421875;4073.1
4073.1;4074.85009765625;4085.0
4085.0;4075.949951171875;4085.8
4085.8;4081.739990234375;4080.2
4080.2;4081.800048828125;4094.26
4094.26;4089.320068359375;4095.5
4095.5;4082.5400390625;4087.5
4087.5;4083.7099609375;4079.5
4079.5;4085.969970703125;4083.9
4083.9;4082.35009765625;4101.8
4101.8;4093.330078125;4114.3
4114.3;4110.919921875;4100.0
4100.0;4111.580078125;4112.4
4112.4;4107.33984375;4110.0
4110.0;4112.89990234375;4118.1
4118.1;4115.080078125;4131.7
4131.7;4129.72021484375;4096.0
4096.0;4119.56005859375;3901.0
3901.0;3886.050048828125;3894.9
3894.9;3888.510009765625;3885.6
3885.6;3894.590087890625;3873.1
3873.1;3874.669921875;3876.6
3876.6;3874.389892578125;3877.3
3877.3;3874.449951171875;3878.3
3878.3;3878.760009765625;3870.0
3870.0;3872.25;3869.6
3869.6;3864.669921875;3869.4
3869.4;3863.570068359375;3869.5
3869.5;3874.239990234375;3698.0
3698.0;3790.419921875;3712.1
3712.1;3709.239990234375;3711.04
3711.04;3710.669921875;3707.9
3707.9;3706.909912109375;3718.36
3718.36;3717.669921875;3725.6
3725.6;3727.9599609375;3714.2
3714.2;3717.739990234375;3711.1
3711.1;3717.3798828125;3712.7
3712.7;3712.429931640625;3712.8
3712.8;3715.429931640625;3725.8
3725.8;3717.260009765625;3725.9
3725.9;3728.0;3723.6
3723.6;3723.72998046875;3715.9
3715.9;3712.969970703125;3704.0
3704.0;3715.22998046875;3698.6
3698.6;3696.5;3704.6
3704.6;3704.68994140625;3720.8
3720.8;3717.780029296875;3722.8
3722.8;3727.050048828125;3742.6
3742.6;3734.080078125;3744.4
3744.4;3747.93994140625;3730.3
3730.3;3744.800048828125;3714.4
3714.4;3730.580078125;3727.76
3727.76;3727.10009765625;3723.8
3723.8;3726.60009765625;3730.1
3730.1;3725.449951171875;3727.5
3727.5;3722.389892578125;3729.1
3729.1;3732.639892578125;3729.7
3729.7;3735.989990234375;3732.2
3732.2;3729.590087890625;3738.0
3738.0;3734.010009765625;3727.86
3727.86;3734.419921875;3729.9
3729.9;3727.550048828125;3734.9
3734.9;3732.8701171875;3728.8
3728.8;3734.169921875;3727.75
3727.75;3734.199951171875;3716.5
3716.5;3719.0;3696.9
3696.9;3705.60009765625;3705.9
3705.9;3702.89990234375;3717.4
3717.4;3721.679931640625;3709.9
3709.9;3710.389892578125;3705.4
3705.4;3706.4599609375;3715.1
3715.1;3713.179931640625;3718.31
3718.31;3717.199951171875;3716.59
3716.59;3713.219970703125;3713.0
3713.0;3713.0400390625;3699.4
3699.4;3707.360107421875;3698.9
3698.9;3698.0400390625;3705.3
3705.3;3700.56005859375;3694.4
3694.4;3698.070068359375;3696.6
3696.6;3692.679931640625;3693.2
3693.2;3696.969970703125;3688.6
3688.6;3691.8798828125;3697.2
3697.2;3693.409912109375;3705.4
3705.4;3704.530029296875;3712.1
3712.1;3708.52001953125;3709.02
3709.02;3709.97998046875;3707.95
3707.95;3708.080078125;3712.2
3712.2;3714.1298828125;3719.8
3719.8;3710.989990234375;3719.0
3719.0;3717.330078125;3709.8
3709.8;3713.510009765625;3714.9
3714.9;3713.330078125;3715.5
3715.5;3715.820068359375;3713.8
3713.8;3718.7900390625;3723.35
3723.35;3719.080078125;3702.4
3702.4;3703.25;3694.2
3694.2;3700.080078125;3684.54
3684.54;3693.080078125;3681.0
3681.0;3684.449951171875;3693.65
3693.65;3687.4599609375;3703.3
3703.3;3703.1298828125;3706.3
3706.3;3707.260009765625;3703.51
3703.51;3705.949951171875;3696.44
3696.44;3700.52001953125;3695.6
3695.6;3692.909912109375;3697.09
3697.09;3696.9599609375;3688.61
3688.61;3697.5;3690.8
3690.8;3686.68994140625;3700.2
3700.2;3699.43994140625;3699.8
3699.8;3700.219970703125;3700.1
